uuid,Keywords,label
0,cardiac troponins; cardiovascular disease; tobacco,1
1,cardiac troponins; cardiovascular disease; tobacco,1
2,cardiac troponins; cardiovascular disease; tobacco,0
3,cardiac troponins; cardiovascular disease; tobacco,1
4,cardiac troponins; cardiovascular disease; tobacco,1
5,cardiac troponins; cardiovascular disease; tobacco,1
6,cardiac troponins; cardiovascular disease; tobacco,1
7,cardiac troponins; cardiovascular disease; tobacco,1
8,cardiac troponins; cardiovascular disease; tobacco,0
9,cardiac troponins; cardiovascular disease; tobacco,1
10,cardiac troponins; cardiovascular disease; tobacco,1
11,cardiac troponins; cardiovascular disease; tobacco,0
12,cardiac troponins; cardiovascular disease; tobacco,0
13,cardiac troponins; cardiovascular disease; tobacco,0
14,cardiac troponins; cardiovascular disease; tobacco,1
15,cardiac troponins; cardiovascular disease; tobacco,0
16,cardiac troponins; cardiovascular disease; tobacco,0
17,cardiac troponins; cardiovascular disease; tobacco,1
18,cardiac troponins; cardiovascular disease; tobacco,1
19,cardiac troponins; cardiovascular disease; tobacco,0
20,cardiac troponins; cardiovascular disease; tobacco,1
21,cardiac troponins; cardiovascular disease; tobacco,1
22,cardiac troponins; cardiovascular disease; tobacco,0
23,cardiac troponins; cardiovascular disease; tobacco,0
24,cardiac troponins; cardiovascular disease; tobacco,1
25,cardiac troponins; cardiovascular disease; tobacco,1
26,cardiac troponins; cardiovascular disease; tobacco,1
27,cardiac troponins; cardiovascular disease; tobacco,1
28,cardiac troponins; cardiovascular disease; tobacco,1
29,cardiac troponins; cardiovascular disease; tobacco,1
30,cardiac troponins; cardiovascular disease; tobacco,1
31,cardiac troponins; cardiovascular disease; tobacco,1
32,cardiac troponins; cardiovascular disease; tobacco,1
33,cardiac troponins; cardiovascular disease; tobacco,1
34,cardiac troponins; cardiovascular disease; tobacco,0
35,cardiac troponins; cardiovascular disease; tobacco,0
36,cardiac troponins; cardiovascular disease; tobacco,0
37,cardiac troponins; cardiovascular disease; tobacco,0
38,cardiac troponins; cardiovascular disease; tobacco,1
39,cardiac troponins; cardiovascular disease; tobacco,0
40,cardiac troponins; cardiovascular disease; tobacco,1
41,cardiac troponins; cardiovascular disease; tobacco,0
42,cardiac troponins; cardiovascular disease; tobacco,1
43,cardiac troponins; cardiovascular disease; tobacco,0
44,cardiac troponins; cardiovascular disease; tobacco,0
45,cardiac troponins; cardiovascular disease; tobacco,1
46,cardiac troponins; cardiovascular disease; tobacco,0
47,cardiac troponins; cardiovascular disease; tobacco,1
48,cardiac troponins; cardiovascular disease; tobacco,0
49,cardiac troponins; cardiovascular disease; tobacco,1
50,cardiac troponins; cardiovascular disease; tobacco,0
51,cardiac troponins; cardiovascular disease; tobacco,0
52,cardiac troponins; cardiovascular disease; tobacco,0
53,cardiac troponins; cardiovascular disease; tobacco,1
54,cardiac troponins; cardiovascular disease; tobacco,0
55,cardiac troponins; cardiovascular disease; tobacco,1
56,cardiac troponins; cardiovascular disease; tobacco,0
57,cardiac troponins; cardiovascular disease; tobacco,1
58,cardiac troponins; cardiovascular disease; tobacco,1
59,cardiac troponins; cardiovascular disease; tobacco,1
60,cardiac troponins; cardiovascular disease; tobacco,1
61,cardiac troponins; cardiovascular disease; tobacco,1
62,cardiac troponins; cardiovascular disease; tobacco,1
63,cardiac troponins; cardiovascular disease; tobacco,0
64,cardiac troponins; cardiovascular disease; tobacco,1
65,cardiac troponins; cardiovascular disease; tobacco,0
66,cardiac troponins; cardiovascular disease; tobacco,0
67,cardiac troponins; cardiovascular disease; tobacco,1
68,cardiac troponins; cardiovascular disease; tobacco,0
69,cardiac troponins; cardiovascular disease; tobacco,1
70,cardiac troponins; cardiovascular disease; tobacco,0
71,cardiac troponins; cardiovascular disease; tobacco,1
72,cardiac troponins; cardiovascular disease; tobacco,1
73,cardiac troponins; cardiovascular disease; tobacco,1
74,cardiac troponins; cardiovascular disease; tobacco,1
75,cardiac troponins; cardiovascular disease; tobacco,1
76,cardiac troponins; cardiovascular disease; tobacco,1
77,cardiac troponins; cardiovascular disease; tobacco,0
78,cardiac troponins; cardiovascular disease; tobacco,1
79,cardiac troponins; cardiovascular disease; tobacco,0
80,cardiac troponins; cardiovascular disease; tobacco,0
81,cardiac troponins; cardiovascular disease; tobacco,0
82,cardiac troponins; cardiovascular disease; tobacco,1
83,cardiac troponins; cardiovascular disease; tobacco,0
84,cardiac troponins; cardiovascular disease; tobacco,0
85,cardiac troponins; cardiovascular disease; tobacco,1
86,cardiac troponins; cardiovascular disease; tobacco,1
87,cardiac troponins; cardiovascular disease; tobacco,1
88,cardiac troponins; cardiovascular disease; tobacco,0
89,cardiac troponins; cardiovascular disease; tobacco,0
90,cardiac troponins; cardiovascular disease; tobacco,1
91,cardiac troponins; cardiovascular disease; tobacco,1
92,cardiac troponins; cardiovascular disease; tobacco,0
93,cardiac troponins; cardiovascular disease; tobacco,1
94,cardiac troponins; cardiovascular disease; tobacco,1
95,cardiac troponins; cardiovascular disease; tobacco,1
96,cardiac troponins; cardiovascular disease; tobacco,1
97,cardiac troponins; cardiovascular disease; tobacco,0
98,cardiac troponins; cardiovascular disease; tobacco,1
99,cardiac troponins; cardiovascular disease; tobacco,1
100,cardiac troponins; cardiovascular disease; tobacco,1
101,cardiac troponins; cardiovascular disease; tobacco,1
102,cardiac troponins; cardiovascular disease; tobacco,0
103,cardiac troponins; cardiovascular disease; tobacco,1
104,cardiac troponins; cardiovascular disease; tobacco,1
105,cardiac troponins; cardiovascular disease; tobacco,1
106,cardiac troponins; cardiovascular disease; tobacco,1
107,cardiac troponins; cardiovascular disease; tobacco,1
108,cardiac troponins; cardiovascular disease; tobacco,1
109,cardiac troponins; cardiovascular disease; tobacco,0
